Subject,out,in1,in2,in3,in4,in5
V105,-900.123639,6.367426412,0.097437221,-305.5496045,2.472679874,0.014430829
V106,-952.4938816,-14.0036977,0.102713339,-314.3290887,0.962035705,0.08870254
V107,-696.1260621,107.0413154,0.43042813,-267.8481525,-0.29911257,0.142534807
V108,-717.444204,121.7568707,0.838224798,-284.7614976,3.285775251,0.052773496
V109,-663.8235363,270.6458438,0.033099431,-314.1351294,1.960133083,0.005855388
V110,-817.4971181,-39.31728149,0.107056908,-261.0228087,1.081758021,0.069488724
V111,-760.4302193,292.6848675,0.201011953,-357.3336388,4.615750963,0.004160359
V112,-677.1799563,174.3036399,0.286390484,-291.5330617,5.13383484,0.401493706
V113,-888.4921526,80.46229769,0.637662466,-326.4488743,2.231508483,0.038162749
V114,-786.9470671,54.81197353,0.166643033,-280.1252801,-0.569589902,0.112374652
V115,-839.9928273,79.80098025,0.097821928,-314.8528914,5.72202081,0.336227906
V116,-811.600273,124.6213989,0.280137107,-318.288411,4.430255815,0.072452728
V117,-787.9792457,110.2808052,0.003863597,-298.7517002,-0.678911621,0.140593793
V118,-1004.198273,-10.99943968,0.203286429,-332.2130786,0.464641567,0.235052707
V119,-824.6564796,200.9971767,0.039857863,-344.2272621,1.702354884,0.02779894
V120,-760.6232561,240.0032673,0.192873885,-339.4873415,4.330342554,0.025676614
V121,-972.5634602,22.33906062,0.303450686,-330.9727267,-0.707079717,0.047415359
V122,-696.3489688,295.579306,0.009017339,-337.5556542,5.178921381,0.00099351
V123,-935.6237535,-39.58799726,0.003761906,-297.9249054,-0.656190389,0.07123955
V124,-390.270895,229.5575096,0.547661962,-212.1204596,3.764238,0.076139647
V125,-3.757714953,0.799141917,0.835560242,-4.931132682,2.205952508,-0.051677868
V126,2.930163284,0.964555437,-2.833957562,2.911708163,2.314850988,-2.072201094
V127,-22.18307669,2.328036295,-4.755838593,-1.586029351,1.411762698,-3.177679708
V128,-39.89529943,-0.207103485,-4.878282439,0.669371519,-1.746916004,-4.990416322
V129,-28.67141806,2.122819275,1.594575927,0.151526755,-3.6708133,-3.95094325
V130,11.24204853,-4.383409353,2.22384467,0.742744688,2.341136362,-0.083002193
V131,-21.26048311,-2.274099424,1.269821258,-3.478189904,-0.698837647,-1.65922118
V132,-16.52335374,-1.048647948,-4.03170128,2.37586274,-2.246324198,-1.110718932
V133,-12.76264955,-4.154132487,-2.152430872,0.097202096,-1.667251697,0.414749037
V134,12.69030139,2.483090393,-2.147710251,2.31102518,0.307205217,1.268147018
V135,-4.974804937,0.927033346,2.350374294,-2.941292051,-0.666429417,0.17740139
V136,-13.76507899,-2.075113282,-3.261773458,0.469203502,-2.329424068,0.548733395
V137,-31.27635954,-4.510003354,-0.985285198,-0.384083336,-0.485533884,-4.340280049
V138,-12.86827658,2.181461666,-3.144395379,-2.645256357,-2.51471833,1.846738981
V139,-41.85888818,-3.26718376,-1.445954822,-2.233332653,-3.935050929,-2.65191862
V140,-15.21886191,0.812323479,0.017452205,-2.34900474,-2.491081493,0.189050078
V141,-36.60289782,-3.455908449,-3.218216779,-3.699855104,1.938408157,-4.672924625
V142,-46.75137897,-1.313076999,-3.832081482,-4.122390104,-1.658002557,-3.754991693
V143,2.313024425,1.300193932,2.04431992,2.861681754,-4.709626911,1.435530607
V144,-37.11959222,1.288080655,-0.568663476,-1.544988932,-2.936904578,-4.177552162
V145,-51.83464105,-3.54621518,-1.497145308,-1.901868606,-3.932005696,-4.77210133
V146,0.310639188,1.988303263,-4.498076214,-3.62244078,1.969768262,2.061347529
V147,-20.3458359,2.537260978,0.679398647,-2.679632509,-1.462092688,-2.070925178
V148,-15.61356748,-0.846836681,0.378734306,0.097375665,-0.347437631,-2.885315176
V149,-40.58567088,-4.015379656,-1.431063561,-2.810203405,-3.986518482,-1.866295991
V150,-16.37872901,-1.442093553,-3.232808566,2.904444506,1.722584853,-4.814938251
V151,-7.122755412,-1.479613928,-0.626536714,1.742323462,0.438182322,-2.273953546
V152,3.420867173,1.122244311,-0.792113008,-0.491994476,-2.342586756,2.945835866
V153,-31.52173096,-0.603537904,1.742327619,-3.662254447,-0.08249112,-4.617224094
V154,7.235344831,-0.118625566,0.214057934,2.180439306,-3.577377716,2.938809495
V155,4.7914251,2.476562908,-0.431026017,1.126503604,-3.615511434,2.85188983
V156,-25.26504424,-2.796225928,2.802111613,0.429306803,-1.771017816,-4.455378136
V157,-26.84937436,-2.718455426,-3.775447046,-3.329179982,-0.655323805,-0.794237936
V158,-50.16277857,-4.182963504,-1.079074921,-4.209319402,-3.739786856,-3.246911919
V159,4.538767147,0.119121954,-1.864801809,-1.707542351,-0.337338034,2.9242456
V160,0.69410854,-0.060893754,-0.449870095,2.130422132,-0.723060478,-0.3688564
V161,19.40609147,2.634127446,-0.425709747,0.760432843,1.124703595,2.168654121
V162,-14.9947818,1.55178727,1.434780896,1.560729017,-1.696904561,-3.462139934
V163,-12.08881978,-2.882571179,2.789849326,-2.7641348,-2.967889778,1.075603252
V164,-19.79399307,2.666870117,-0.009024883,2.179433774,-2.840668267,-3.523688335
V165,-26.17342796,2.662728971,2.821639923,-1.80416101,-1.309881818,-4.765485294
V166,10.67219284,-0.029932488,-1.748782592,1.181319149,-0.500615878,2.531639315
V167,-48.45551249,1.670372903,-4.599679286,-3.803567922,-4.682802208,-2.156922845
V168,-30.24719423,-2.947013479,2.809438124,-4.792557402,0.143900719,-3.823397534
V169,13.91984027,0.410894753,1.039334219,0.194959749,-0.112260966,2.25888834
V170,-11.07453154,-3.366356501,-0.962988662,-0.056315148,-2.327609781,0.739437371
V171,-21.41430775,1.191234378,-3.541004239,-2.8713264,-3.337947797,1.288447347
V172,-29.52916013,-2.621005733,0.303392835,0.881120265,-1.308572525,-4.984802153
V173,-33.81043204,-3.797621781,-2.868975967,-4.595284816,0.059497768,-2.145398989
V174,-45.95194748,-2.877775457,1.015538501,-3.894554626,-4.947839646,-2.726045312
V175,-19.78430487,1.172004884,0.141800461,-3.37563953,0.718408838,-2.797325488
V176,-18.2414741,-3.734174926,-0.376674045,-4.639689486,-1.090462936,0.905393824
V177,-5.780956348,-4.176462766,-4.633209147,2.707257397,0.216532219,-0.265195271
V178,2.941146638,-4.316480657,-4.368486447,2.936248682,0.982955562,0.650806379
V179,-33.78831263,-0.281034546,1.248511959,-3.859775281,-4.256570974,-1.479738452
V180,-3.475145,1.032546971,-1.238469856,-0.973047597,0.474228233,-0.20170448
V181,-5.178661784,2.0509018,0.215310477,-4.738546768,2.128264699,-0.391520606
V182,-33.25968197,1.036947912,-4.800258186,2.01024971,-2.878787991,-3.842342136
V183,-32.56653521,1.550878711,0.56470516,-1.68641497,-3.708391497,-3.070802668
V184,-26.07877416,-2.062063426,-4.770607382,0.382822182,-3.332980655,-0.458407979
V185,-26.28862381,1.394092025,-3.974500757,-3.753210226,2.204116113,-3.458109619
V186,-26.21939249,-3.941332771,-4.532191252,1.622311519,0.613957301,-4.107288195
V187,-41.49929628,-3.602132875,2.95262254,-0.397922212,-4.815336216,-4.669459397
V188,-41.51425374,-4.429296302,-4.511915712,-2.27556801,-1.265783535,-3.234257568
V189,4.287996715,0.816767747,2.935107298,1.45074678,-3.850421082,1.730091672
V190,-1.195633287,2.379344303,-3.913135527,-3.259348379,0.063649479,2.754948137
V191,-27.19818799,-0.888192685,1.982485021,-1.02418674,-0.984927367,-4.652539132
V192,-16.55117506,1.068663288,1.899824249,2.959472703,-2.730743952,-3.874985829
V193,7.151980095,-0.756391704,2.009251421,-0.854048463,-0.023983276,1.30958949
V194,-36.28615224,-1.190049762,-0.564615075,-0.214222232,-3.135253897,-4.156638008
V195,-67.02753425,-1.992407549,-4.239269916,-4.444335274,-4.88617244,-4.735778257
V196,-1.989652039,0.248306248,-3.065444153,2.094452761,1.507211369,-1.683854748
V197,12.62600405,0.154178092,-0.707668385,-2.243702048,1.89297799,2.609271383
V198,-24.04933502,0.526010653,-2.720099248,-2.994278556,-0.478168309,-1.647927655
V199,4.210451628,-1.24736405,2.68065048,-1.951351291,1.142171454,0.276376555
V200,-35.06030223,-0.367357153,-0.553153891,-1.227131689,-3.095973702,-3.504269484
V201,-33.61544178,-0.588778116,-3.300207311,1.952259172,-4.239675773,-3.064864693
V202,-14.42927098,2.531959616,1.757605024,2.564887095,-2.179573596,-3.890561508
V203,-37.84347369,-1.073587613,-3.707726076,-3.158213453,-0.975948168,-3.195200179
V204,-34.00459484,-4.657181868,-3.346563822,-2.44011523,-1.611216446,-1.77781477
V205,-9.47365472,-0.732249297,1.076185104,1.089904983,-2.239124835,-1.041398248
V206,-33.74505614,-3.793993376,-3.895316115,0.255124399,-0.499646582,-4.185443481
V207,-11.6464129,1.022121049,2.593151059,2.179968329,-0.058312677,-4.83229807
V208,-19.14260067,-1.684726233,0.531285416,0.582715157,-3.530661408,-1.229189022
V209,-13.80354897,-3.865542255,1.858614951,0.113963205,-2.696816299,-0.641972208
V210,-55.3305855,-3.650791431,-4.577668518,-0.042210259,-4.921842463,-4.54209128
V211,-41.98920306,-4.253699418,-4.598850286,-0.233818904,-3.446261391,-2.810260158
V212,4.591416347,-1.881194722,0.931866763,-1.679669145,-0.803999208,2.572776362
V213,-34.05468254,-1.45775342,-2.078620661,-3.117780587,0.0604282,-3.865611767
V214,-2.36749359,-1.140681613,-3.056983424,0.690262571,-0.768556928,1.178118974
V215,-36.98262643,-1.130040728,-0.819242856,-0.262850419,-4.235919623,-3.296374049
V216,-16.15527185,1.805963697,-4.353632191,-1.804076593,-2.860046836,1.519689191
V217,-46.95472007,-3.627646493,-0.781438548,-4.641051348,-1.506661467,-4.362879314
V218,-12.28550814,1.179940142,-3.657044454,-3.047568325,-1.848747307,2.077266965
V219,-3.963931915,-1.783857426,-3.888653051,-0.577436808,2.206514973,-0.299303571
V220,-8.172455735,-3.300833551,1.900540696,0.529292049,-2.053538872,-0.409284847
V221,-20.77536076,-2.702435886,1.495526593,-1.742418759,2.024114069,-4.786635611
V222,6.539050266,1.518932443,0.468564507,-0.749391299,0.918778729,0.531209558
V223,-15.88036173,-4.050274841,-2.708004734,-1.893176619,-3.44222202,2.606868103
V224,-15.70328556,0.928344309,0.835434185,-2.306141833,2.627142463,-4.378528519
V225,9.979840142,-1.523788542,-2.751710096,2.036089467,0.96902206,1.404538447
V226,3.497390824,2.451287545,-3.580008101,-4.082583439,1.591325967,2.817713186
V227,7.442088963,2.033224687,1.788331663,2.478563404,-2.211936198,0.648851106
V228,-2.370634037,-1.786995409,2.336199664,0.86001423,-0.469206354,-1.191851046
V229,-7.765290982,2.393794008,0.079793125,-3.363210469,-3.246482782,2.551378259
V230,-26.75308536,0.915028831,0.499263208,-1.350332711,-2.174730239,-3.183344303
V231,-9.317037816,-0.16111557,-0.515046911,-1.297351496,-0.686207769,-0.297788572
V232,-38.16160765,-2.153393954,-2.849510103,-4.360555932,-2.568208311,-1.390938489
V233,5.697776103,-2.161032842,0.115837153,1.501634803,-0.028301325,0.647087106
V234,-24.16897579,0.387170926,-2.435090629,-2.449644107,-1.218850959,-1.492325861
V235,-35.27500625,-3.093088185,-2.263334054,-2.285752669,-0.719968446,-3.583623633
V236,-26.31321175,-0.458173653,1.114120038,-2.34368204,-1.199059682,-3.251198664
V237,-26.11039176,0.672636257,-2.659831095,-4.715855893,0.298217043,-1.701733263
V238,-27.39590978,1.435547667,-1.984466022,2.463993911,-2.255550135,-4.646461319
V239,-42.46829695,-0.340934275,-3.61102126,1.428188331,-4.398579745,-4.319113234
V240,-12.89457628,-3.498717742,2.297842061,1.042011591,0.769474173,-4.039094824
V241,0.904451725,-1.777601637,-2.499216266,0.88824711,0.802846096,0.360872036
V242,0.173609281,-3.818714928,1.747166457,-0.757151032,2.491642954,-1.439425485
V243,9.827629942,0.426115379,2.599925954,2.662747031,2.600647828,-2.83783395
V244,-23.06264772,-1.239548257,-3.11211546,2.262192121,0.434731932,-4.824874526
V245,4.045790129,0.091727104,0.030565154,0.051986291,0.225900981,0.566673984
V246,4.440903057,0.329846272,0.175875907,0.049291517,0.82240067,0.064365548
V247,5.449799646,0.165564442,0.004492691,0.44194763,0.705878838,0.225178316
V248,5.705428412,0.163938434,0.157706778,0.574125984,0.73069517,0.116183558
V249,2.198748021,0.651405234,0.319017204,0.010705561,0.200325994,0.015177544
V250,8.787572394,1.524422499,0.156483367,0.654927426,0.025472227,0.976702395
V251,3.663074384,0.140734019,0.266246559,0.313727996,0.412222426,0.079954711
V252,3.467772965,0.903626414,0.153744871,0.094182745,0.160164586,0.266690046
V253,5.652819886,0.359689894,1.29531177,0.129474296,0.166915651,0.329284192
V254,1.167805941,0.020398992,0.061143214,0.161542579,0.128782676,0.005072416
V255,6.488821713,0.161177669,0.492954573,0.195395261,0.06950266,0.895507695
V256,3.969003272,0.209834779,0.647969961,0.128441116,0.410713132,0.087010539
V257,2.327974025,0.211551326,0.031407945,0.191215478,0.196150865,0.139071383
V258,4.320777232,0.945430664,0.415020434,0.260337011,0.410552883,0.024416627
V259,2.138107034,0.066240522,0.127836217,0.147015477,0.126972853,0.173451247
V260,4.582877278,0.258066629,0.362220992,0.115199748,0.146118734,0.534058897
V261,3.495099048,0.015330366,0.467260492,0.06654991,0.157249897,0.343319676
V262,2.679991882,0.072232419,0.727723048,0.01829082,0.023074088,0.201028911
V263,1.697309715,0.01473309,0.1259954,0.050370125,0.190037125,0.10386539
V264,0.902491489,0.016351622,0.149276159,0.102173695,0.063706621,0.005247996
V265,3.769447139,0.105175786,1.302249205,0.127087626,0.12658866,0.034431085
V266,3.15234139,0.099995116,0.193187443,0.371537587,0.273036148,0.091842807
V267,4.455375842,0.168229727,0.265349345,0.055460423,0.262294274,0.508177812
V268,1.273558794,0.271273402,0.114453423,0.008326387,0.15464047,0.025967501
V269,10.03847311,0.095225937,0.471332472,1.2679603,0.22466327,0.85960965
V270,1.524583499,0.237982855,0.075681247,0.141985542,0.075908761,0.081129296
V271,1.781650321,0.103121101,0.069677913,0.063647567,0.154444697,0.146090381
V272,6.535637205,0.224298643,0.364154458,0.592538416,0.354481772,0.477497462
V273,7.573462172,1.055560407,0.335842715,0.414653045,0.33273221,0.654265672
V274,2.34784488,0.061675789,0.055112054,0.006250692,0.230642643,0.246924467
V275,2.255217906,0.14912193,0.081576494,0.272813275,0.096512687,0.147690483
V276,5.026498612,0.051779926,0.000694625,0.369180823,0.712295013,0.203321383
V277,3.544489051,0.104318436,0.182815503,0.318672125,0.525906641,0.002979334
V278,2.61130032,0.385468877,0.080962521,0.072946761,0.061182272,0.320067406
V279,4.644175237,0.114354141,0.467771158,0.319748435,0.260222075,0.318829035
V280,4.052339628,0.033051248,0.962706241,0.021220107,0.283831213,0.178978145
V281,2.089907048,0.030452989,0.402046292,0.038312187,0.116843426,0.134610242
V282,4.064077229,0.130156894,0.028029616,0.108822394,0.412396014,0.380361973
V283,1.846642623,0.440082145,0.223598856,0.172488829,0.030958116,0.063612763
V284,1.935857974,0.259199962,0.185854286,0.152561414,0.165656252,0.036928038
V285,4.694677149,0.028568352,0.117648377,1.302018043,0.120594501,0.008475982
V286,2.562790985,0.47462477,0.139765302,0.459832874,0.032037721,0.060197221
V287,5.076439919,0.123986392,0.537775648,0.789384965,0.107857979,0.215463084
V288,7.030064815,0.358424914,0.395494887,1.008001235,0.531048448,0.146490526
V289,2.431635552,0.112442525,0.00615745,0.044766816,0.096370051,0.357419495
V290,8.480698948,0.554244484,0.415633574,0.049023519,0.518642276,0.974709531
V291,4.550771222,0.768012308,0.367972894,0.096316229,0.049122686,0.512274739
V292,2.775471848,0.182529033,0.335719893,0.309587517,0.207158482,0.03282131
V293,1.950942348,0.436572184,0.091657124,0.121983956,0.165647002,0.060503208
V294,7.467947837,0.317595609,0.459003014,1.415204208,0.276791049,0.175913876
V295,2.670724385,0.071348606,0.153458754,0.323951328,0.042201098,0.230359979
V296,1.759831432,0.469545273,0.035893245,0.068866686,0.247070499,0.004723523
V297,7.518083695,0.534758348,0.010060263,0.231946103,0.130147228,1.14935552
V298,2.33756195,0.510627434,0.090288644,0.472136205,0.019747002,0.030192121
V299,0.892761183,0.157418048,0.072499953,0.074117638,0.021410895,0.056469347
V300,5.963843931,0.039473356,0.100908768,0.370178437,1.087009942,0.052795592
V301,6.278520512,0.12450771,0.219031349,0.504240556,0.313780649,0.589621168
V302,2.557202275,0.650803091,0.301252063,0.09303653,0.211135852,0.036048412
V303,5.588503463,0.173207978,0.224817559,0.092572371,1.039372256,0.106090846
V304,2.315627096,0.267843626,0.330997809,0.102857335,0.046921183,0.177906223
V305,7.082546838,0.315786007,0.039345582,1.288978767,0.392557179,0.25018093
V306,2.816207988,0.037277463,0.00624268,0.065100293,0.151739354,0.392837374
V307,6.107775309,0.69277297,0.809141007,0.187938628,0.522967964,0.228206517
V308,4.188355784,0.03974175,0.081304964,0.382927027,0.269582315,0.351778753
V309,3.422927552,0.39984586,0.257409673,0.389272177,0.21630555,0.095044723
V310,3.750935588,0.210538483,0.300573174,0.455581676,0.345748236,0.037902557
V311,15.85020675,0.122609587,0.466518514,0.248264042,0.010447401,2.80159568
V312,5.462461868,0.225853983,0.282064344,0.694830816,0.504254146,0.114194033
V313,1.035430753,0.044090344,0.154564658,0.031410511,0.1006026,0.037113832
V314,5.201911148,0.100676381,0.086114187,0.214497974,0.487460924,0.467133755
V315,3.389074928,0.257169328,0.33395191,0.02221321,0.3909933,0.16667779
V316,3.341142839,0.148211388,0.00436406,0.279653777,0.15768264,0.342902288
V317,1.971983681,0.062490441,0.083808199,0.064466606,0.030191906,0.28554188
V318,2.278820919,0.287287069,0.191051519,0.001452083,0.265958512,0.108248103
V319,4.66160443,0.665456418,0.040342838,0.209386638,0.257246083,0.451663618
V320,5.004209123,0.254333269,0.037444233,0.456283786,0.45015393,0.301104062
V321,0.907669298,0.02001629,0.075607357,0.034489688,0.147735555,0.008405402
V322,6.850359751,0.328053622,0.383054001,1.001055883,0.233740577,0.363613634
V323,3.037990118,0.317454395,0.215808345,0.289603647,0.223582318,0.105155764
V324,2.688915528,0.491203262,0.000715302,0.251594616,0.044579616,0.25263587
V325,3.647503912,0.142866238,0.306223874,0.043512492,0.49218325,0.15858389
V326,5.425889377,0.086965604,0.307093523,0.192767948,0.818229822,0.174702719
V327,3.427258199,0.106704655,0.897017863,0.17953926,0.036113647,0.16868909
V328,4.365882532,0.391187935,0.448302393,0.585801552,0.137175325,0.154396771
V329,2.326595283,0.152609896,0.153314843,0.071408828,0.128945973,0.227469065
V330,7.530377153,0.294093902,0.088761586,0.063864035,0.305827801,1.128771354
V331,6.849808867,0.111841005,0.58458701,0.210849335,1.211775158,0.017829041
V332,5.564003078,0.013599058,0.089723536,0.155968565,0.649581537,0.460945021
V333,3.475689128,0.043403332,0.056384172,0.078342094,0.185546355,0.46846115
V334,1.262793615,0.142295251,0.097063255,0.088949569,0.018547208,0.117066863
V335,3.494387534,0.223400543,0.021712768,0.321761933,0.345571339,0.17599806
V336,3.843375527,0.177462324,0.227627204,0.012220514,0.435323402,0.286540729
V337,2.797683163,0.145474364,0.408890582,0.039030795,0.185588955,0.194995886
V338,3.769986379,0.559185483,0.301382008,0.160524016,0.505551483,0.02085178
V339,7.108657748,0.192360404,0.145555212,0.007841122,0.303933406,1.077185986
V340,3.826688871,0.542887804,0.255091478,0.147274879,0.496768991,0.068943502
V341,4.708545617,0.194411953,0.382881393,0.148912225,0.690721337,0.107749771
V342,2.897469148,0.128200656,0.261794668,0.499531078,0.009815948,0.141564426
V343,7.953465787,0.253929946,1.194043946,0.139679645,0.887236906,0.268692278
